Class,Precision,Recall,F1-score,Support
Account Access,0.9302325581395349,0.8695652173913043,0.898876404494382,46
Billing Issue,0.9591836734693877,0.746031746031746,0.8392857142857143,63
Product Inquiry,0.7272727272727273,0.27586206896551724,0.4,29
Refund Request,1.0,0.13513513513513514,0.23809523809523808,37
Service Complaint,0.0,0.0,0.0,8
Shipping Concern,0.9122807017543859,0.8813559322033898,0.896551724137931,59
Technical Problem,0.8,0.5454545454545454,0.6486486486486487,44
